BIKE_ID,RENT_DT,RENT_ID,RENT_NM,RENT_HOLD,RTN_DT,RTN_ID,RTN_NM,RTN_HOLD,USE_MIN,USE_DST,USR_CLS_CD,SEX_CD,BIRTH_YEAR,RENT_STATION_ID,RETURN_STATION_ID,BIKE_SE_CD,START_INDEX,END_INDEX,RNUM
SPB-71753,2026-03-30 01:02:55,00241,신길우성1차아파트 앞 공원,0,2026-03-30 01:09:20,00289,대림3동사거리,0,6,594.57,USR_001,F,2008,ST-290,ST-1697,일반자전거,0,0,29
SPB-55275,2026-03-30 01:01:26,03881,신자초교입구 교차로,0,2026-03-30 01:09:23,03569,건대병원후문,0,7,1082.70,USR_001,F,2004,ST-2865,ST-2308,일반자전거,0,0,30
SPB-65451,2026-03-30 01:00:42,03881,신자초교입구 교차로,0,2026-03-30 01:09:27,03865,이튼타워리버 2차,0,8,769.68,USR_001,F,2003,ST-2865,ST-2545,일반자전거,0,0,31
SPB-71305,2026-03-30 01:08:52,04870,몽촌토성역 3번 출구,0,2026-03-30 01:09:29,04870,몽촌토성역 3번 출구,0,0,20.00,USR_001,M,1994,ST-2876,ST-2876,일반자전거,0,0,32
SPB-43434,2026-03-30 01:01:19,03881,신자초교입구 교차로,0,2026-03-30 01:09:30,03569,건대병원후문,0,8,1045.81,USR_001,F,2006,ST-2865,ST-2308,일반자전거,0,0,33
SPB-73079,2026-03-30 01:00:56,02908,광운대학교 중앙도서관,0,2026-03-30 01:09:34,02917,신창중학교 후문 맞은편 버스정류장,0,8,425.54,USR_001,M,1999,ST-2074,ST-2083,일반자전거,0,0,34
SPB-39950,2026-03-30 01:03:17,05061,우장산동 가곡어린이공원앞,0,2026-03-30 01:09:37,02739,수명산파크1단지교차로,0,6,810.63,USR_001,M,2006,ST-2888,ST-2056,일반자전거,0,0,35
SPB-38440,2026-03-30 01:03:38,02059,보라매공원 정문,0,2026-03-30 01:09:38,04575,대림동 e편한세상영등포아델포레,0,6,844.21,USR_001,,2002,ST-1151,ST-2823,일반자전거,0,0,36
SPB-70393,2026-03-30 01:03:41,04870,몽촌토성역 3번 출구,0,2026-03-30 01:09:40,01248,방이초등학교,0,5,880.64,USR_001,,1995,ST-2876,ST-908,일반자전거,0,0,37
SPB-43681,2026-03-30 01:02:06,04803,상봉2동 주민센터 앞,0,2026-03-30 01:09:41,04820,망우역 2번 출구,0,7,1278.39,USR_001,,1998,ST-2629,ST-2860,일반자전거,0,0,38
SPB-60624,2026-03-30 01:05:51,02283,그룹한빌딩옆,0,2026-03-30 01:09:44,02529,우리은행 방배동지점 앞,0,3,960.00,USR_001,M,1990,ST-1309,ST-1914,일반자전거,0,0,39
SPB-35526,2026-03-30 01:03:24,01636,상계주공2단지 버스정류장 옆,0,2026-03-30 01:09:50,02920,상계중학교(당현2교사거리),0,6,643.99,USR_001,M,1976,ST-610,ST-2086,일반자전거,0,0,40
SPB-57048,2026-03-30 01:03:54,01643,태릉입구역 8번출구,0,2026-03-30 01:09:53,05314,월계1동주민센터 앞,0,5,345.02,USR_001,,1993,ST-1111,ST-3122,일반자전거,0,0,41
SPB-60553,2026-03-30 01:01:56,02637,아시아지하보도 14번 출구,0,2026-03-30 01:09:58,01220,잠실근린공원,0,8,1090.59,USR_001,,1996,ST-1864,ST-546,일반자전거,0,0,42
SPB-71412,2026-03-30 01:03:17,04951,강동농협 버스정류소 앞(광채빌라),0,2026-03-30 01:10:03,01086,래미안 솔베뉴(구천면로),0,6,967.45,USR_001,,1960,ST-3147,ST-1846,일반자전거,0,0,43
SPB-39557,2026-03-30 01:09:34,00525,한양대병원사거리,0,2026-03-30 01:10:07,00525,한양대병원사거리,0,0,88.15,USR_001,F,2001,ST-241,ST-241,일반자전거,0,0,44
SPB-68009,2026-03-30 01:00:48,01375,생명의 전화 종합복지관 앞 교차로,0,2026-03-30 01:10:11,01333,석관초등학교 앞,0,9,2219.71,USR_001,M,2004,ST-1723,ST-579,일반자전거,0,0,45
SPB-48803,2026-03-30 01:07:56,00224,롯데캐슬 앞,0,2026-03-30 01:10:23,05859,여의도 삼부아파트,0,2,634.38,USR_001,M,2008,ST-70,ST-3160,일반자전거,0,0,46
SPB-50411,2026-03-30 01:08:55,03511,응봉역 1번출구,0,2026-03-30 01:10:25,03511,응봉역 1번출구,0,1,0.00,USR_001,M,2006,ST-1195,ST-1195,일반자전거,0,0,47
SPB-66323,2026-03-30 01:01:55,05317,공릉동 신도1차 아파트 뒤,0,2026-03-30 01:10:26,01617,하계동 중평어린이공원 앞,0,8,283.68,USR_001,M,2000,ST-3167,ST-606,일반자전거,0,0,48
SPB-63819,2026-03-30 01:02:53,01390,석관래미안아트리치,0,2026-03-30 01:10:47,01601,석계역 문화광장 내 자전거 보관소,0,7,1386.74,USR_001,M,1971,ST-2231,ST-600,일반자전거,0,0,49
SPB-46527,2026-03-30 01:03:28,02294,두상빌딩 앞,0,2026-03-30 01:10:50,03609,언주초등학교 입구,0,7,176.47,USR_001,M,1970,ST-1361,ST-2674,일반자전거,0,0,50
SPB-74092,2026-03-30 01:05:19,03518,군자역 7번출구뒤,0,2026-03-30 01:10:52,03899,아차산역 2번출구,0,5,1110.68,USR_001,M,2001,ST-1263,ST-3340,일반자전거,0,0,51
SPB-54202,2026-03-30 01:00:59,00746,목동2단지 상가,0,2026-03-30 01:10:56,04532,목동현대아파트 후문 앞,0,9,1597.26,USR_001,M,2008,ST-1017,ST-2879,일반자전거,0,0,52
SPB-56072,2026-03-30 01:10:43,00247,당산역 10번출구 앞,0,2026-03-30 01:11:01,00247,당산역 10번출구 앞,0,0,0.00,USR_003,,,ST-295,ST-295,일반자전거,0,0,53
SPB-48330,2026-03-30 01:00:12,00520,상왕십리역 4번 출구 앞,0,2026-03-30 01:11:02,01363,보문4교 인근,0,10,2331.80,USR_001,M,1979,ST-236,ST-1455,일반자전거,0,0,54
SPB-51075,2026-03-30 01:08:39,02102,봉림교 교통섬,0,2026-03-30 01:11:07,03811,신사로입구,0,2,0.00,USR_001,M,1996,ST-702,ST-2851,일반자전거,0,0,55
SPB-42930,2026-03-30 01:07:17,02733,마곡13단지 정문 앞,0,2026-03-30 01:11:14,01186,송정중학교,0,3,549.38,USR_001,M,1996,ST-2050,ST-1647,일반자전거,0,0,56
SPB-74761,2026-03-30 01:01:12,00548,자양나들목,0,2026-03-30 01:11:16,03534,건대입구역 5번출구 뒤,0,10,1630.08,USR_001,,1999,ST-258,ST-1661,일반자전거,0,0,57
SPB-44235,2026-03-30 01:01:06,00587,유니베라 앞,0,2026-03-30 01:11:32,00560,비전교회 앞,0,10,1624.66,USR_001,M,1999,ST-482,ST-361,일반자전거,0,0,58
SPB-55361,2026-03-30 01:07:31,01260,방이동 한양3차아파트 옆,0,2026-03-30 01:11:35,04860,가락쌍용2차아파트 103동,0,4,345.05,USR_001,F,2002,ST-1079,ST-2757,일반자전거,0,0,59
SPB-67319,2026-03-30 01:02:55,03586,군자역 비채온 오피스텔,0,2026-03-30 01:11:38,04385,용답동 우체국 주변,0,8,936.64,USR_001,M,2002,ST-2325,ST-3099,일반자전거,0,0,60
SPB-45163,2026-03-30 01:03:25,01601,석계역 문화광장 내 자전거 보관소,0,2026-03-30 01:11:44,00665,이문동 쌍용아파트 정문,0,8,2160.81,USR_001,M,2002,ST-600,ST-2265,일반자전거,0,0,61
SPB-70726,2026-03-30 01:09:06,04087,우이교 교차로,0,2026-03-30 01:11:45,01741,제일강산수산입구,0,2,283.66,USR_001,M,2006,ST-3092,ST-1638,일반자전거,0,0,62
SPB-57859,2026-03-30 01:03:39,01601,석계역 문화광장 내 자전거 보관소,0,2026-03-30 01:11:47,00665,이문동 쌍용아파트 정문,0,8,2144.38,USR_001,M,2002,ST-600,ST-2265,일반자전거,0,0,63
SPB-70622,2026-03-30 01:07:11,01029,성내어울터,0,2026-03-30 01:11:48,01020,강동경찰서,0,4,979.85,USR_001,,1995,ST-1046,ST-503,일반자전거,0,0,64
SPB-67381,2026-03-30 01:04:18,05095,원당근린공원,0,2026-03-30 01:11:52,01160,양천향교역 7번출구앞,0,7,0.10,USR_001,,1995,ST-3226,ST-1251,일반자전거,0,0,65
SPB-50852,2026-03-30 01:03:13,04510,신정네거리역 교차로,0,2026-03-30 01:11:54,04540,목동역 3번 출구,0,8,1358.23,USR_001,M,1990,ST-2762,ST-3104,일반자전거,0,0,66
SPB-52798,2026-03-30 01:01:04,00529,장한평역 8번 출구 앞,0,2026-03-30 01:11:55,03509,세종사이버대학교,0,10,1743.53,USR_001,M,1979,ST-243,ST-1194,일반자전거,0,0,67
SPB-74834,2026-03-30 01:03:10,04520,대성유니드아파트,0,2026-03-30 01:11:55,00779,신정1동 주민센터 앞,0,8,1350.33,USR_001,,,ST-2770,ST-2005,일반자전거,0,0,68
SPB-32080,2026-03-30 01:03:54,01203,밀리아나2빌딩 앞,0,2026-03-30 01:11:57,02628,문정역 1번출구,0,8,856.73,USR_001,M,1994,ST-737,ST-1855,일반자전거,0,0,69
SPB-66366,2026-03-30 01:02:17,00205,산업은행 앞,0,2026-03-30 01:12:12,00217,NH농협은행 앞,0,9,1270.00,USR_001,M,1994,ST-52,ST-66,일반자전거,0,0,70
SPB-53067,2026-03-30 01:06:16,00925,불광역 2번출구,0,2026-03-30 01:12:22,00946,독바위역,0,6,1214.32,USR_001,M,2003,ST-473,ST-1032,일반자전거,0,0,71
SPB-59396,2026-03-30 01:03:53,01088,풍납사거리(강동),0,2026-03-30 01:12:23,01078,둔촌사거리,0,8,1358.19,USR_001,M,2006,ST-1848,ST-1839,일반자전거,0,0,72
SPB-82738,2026-03-30 01:04:45,04281,명지대사거리,99,2026-03-30 01:12:26,03121,가좌삼거리,99,7,1046.18,USR_001,M,1963,ST-3411,ST-2206,새싹자전거,0,0,73
SPB-57410,2026-03-30 01:08:45,01442,중랑구청 중화동 별관 앞,0,2026-03-30 01:12:26,01403,중화빌딩 앞 (동부시장),0,3,617.32,USR_001,M,1968,ST-1093,ST-566,일반자전거,0,0,74
SPB-58421,2026-03-30 01:04:11,03959,시흥사거리(시흥동 994-3 앞),0,2026-03-30 01:12:29,01846,롯데캐슬골드파크1차 동문,0,8,1170.07,USR_001,M,2006,ST-2639,ST-1147,일반자전거,0,0,75
SPB-50943,2026-03-30 01:06:41,02739,수명산파크1단지교차로,0,2026-03-30 01:12:30,05061,우장산동 가곡어린이공원앞,0,5,850.00,USR_001,,2002,ST-2056,ST-2888,일반자전거,0,0,76
